text,label,lang,score
Hear the podcast,casual,en,-2.0
You might try offfering him meal worms instead of crickets.,formal,en,1.2
http://www.superantispyware.com/ Run the online scan for Bit Defender in normal mode.,neutral,en,0.4
"Arias and the OAS had laid the groundwork for a deal, but the main sticking point -- Zelaya's reinstatement -- seemed insurmountable as the de facto government consistently balked.",formal,en,1.6
"Major celebrations are planned for 9 November, the 20th anniversary of the wall's collapse.",neutral,en,0.4
"Last night a former home secretary, Charles Clarke, called for a major review of drugs policy and urged ministers not to ""isolate themselves"" from science.",formal,en,1.2
"Demoed on YouTube, the blacksn0w exploit will provide a baseband unlock of the 3.1.x firmware allowing your iPhone to run on your preferred GSM carrier.",neutral,en,0.4
Its video is superb.,formal,en,0.8
that's the worst thing you could do!!,casual,en,-2.5
I swear by imitation crab meat for crab salads.,neutral,en,-0.4
A cat that is good at hunting rodents is referred to as a mouser.,formal,en,1.8
"LG Electronics Inc. reported quarterly profit that beat analysts' estimates, boosted by record shipments of televisions and higher sales of appliances.",formal,en,2.2
But visitor logs released by the White House on Friday show it is indeed true.,casual,en,-1.6
We are hoping to secure an arrangement so the Family CAFE will survive.,formal,en,1.8
It is indeed unfortunate that she has left the employment of the state.,formal,en,2.4
The gay men are bad!!!,casual,en,-1.8
Was I talking?,casual,en,-1.6
ONe of them will be in touch.,neutral,en,0.2
"The conversation petered out after 1 a.m., leaving them less than three hours of sleep before their second day began.",casual,en,-0.6
"Counselors will be at school Monday to talk with Ross' classmates and any other students who feel the need to talk about the incident, said Eftychiou, describing the violence as a rare occurrence even in vicinity of the suburban school.]",formal,en,1.4
"Even when the new bridge is finished, Fandi said, he isn't sure he wants to give up his daily row.",formal,en,2.0
I understand $56 million has been released by you and a portion of those funds could be designated for this program.,formal,en,1.4
"Chris Wallace, the host of ""Fox News Sunday,"" sits down with Rush Limbaugh, the conservative radio talk show host, who is one of Democrats' most colorful critics.",formal,en,1.2
Less than half of the dormant cancers will progress to become invasive but 30% are treated with mastectomies.,formal,en,1.8
"Earlier this year, the Obama administration called for the Israelis to halt building more housing on land the Palestinians regard as theirs.",formal,en,1.6
SueZann Bosler:,formal,en,1.0
lol... these pizza hut q's your asking make me laugh.,casual,en,-2.4
Bring the stew just to a simmer.,formal,en,1.2
P.S. Bill Hebrock is a very good trustee.,neutral,en,0.5
Corben is part of the Eastern Suburbs social set and works in the finance sector.,formal,en,1.0
* Mr. T pities the fool.,casual,en,-2.4
"The ""state of the art"" video game... called PONG!",casual,en,-2.0
"In court yesterday, the police prosecutor, Senior Sergeant Rick Thompson, said the offence carried a maximum 20-year jail term.",formal,en,1.0
I never cared meet him until he contacted me when he was dieing.,casual,en,-2.2
"Yet, it's exploding with new features, and still really fast.",casual,en,-0.6
At least you'll feel a little relief - you can always retest.,neutral,en,-0.2
"As for Lynda Healy, she was gone without a trace.",formal,en,0.8
"Your `friend 'is a human leech, she's scum.",casual,en,-2.2
Rhonda D. Hall,casual,en,-0.75
neither they are both way too urban and large for my tastes.,casual,en,-1.4
"If you've been tracking this pecs-pumping, pyrotechnics-palooza with us, then you're already hip to the summer 2010 film's hulking, Who's Who he-man cast (Jason Statham, Jet Li, Mickey Rourke, Dolph Lundgren, Eric Roberts, Randy Couture, Steve Austin, etc.).",casual,en,-1.2
"""But that was before national borders were established,"" Mr. Eryani added.",neutral,en,-0.4
I hope you can find time to read it and pass it on to the new Film Commissioner.,formal,en,1.0
how much $??,casual,en,-3.0
totus - total?,casual,en,-2.75
They will fade away like a flower in the field.,neutral,en,-0.2
"org, are freely available to anyone who wants to use them.",casual,en,-0.8
I guarantee you'll cry.,casual,en,-1.8
Our law enforcement agents annually join forces with local law enforcement in Daytona and Panama City to combat underage drinking and false identification activity.,formal,en,1.6
Interior vs exterior fix?,casual,en,-1.2
"On entering, one is struck by the acidic smell of the paper, and by the dust.",neutral,en,0.2
Repeat with remaining chicken.,casual,en,-0.6667
Easier.,casual,en,-2.25
The Wind Dancer (1991) 2.,formal,en,1.5
"Murphy: Hallelujah, Jaffar.",casual,en,-1.8
Get a full nights sleep and make sure to drink lots of water.,neutral,en,0.4
Netflix wants to stream through as many devices as possible.,neutral,en,0.0
"He said, ""You see that? I'm a captain.""",casual,en,-1.0
But the main reason that I am writing to you is to request that you appoint Claudia Isom as the next Appellate Judge for the 13th district.,formal,en,2.25
for affordable housing by individuals with disabilities; and the sharing of initiatives to address these housing needs with local governments.,formal,en,1.4
Usually most kids can start sleeping on there own by atleast 1 possibly 2.,casual,en,-1.2
"Poly beat Wilson in the Friday night matchup, 34-15.",neutral,en,0.4
perception versus reality.,neutral,en,0.2
Applied ecology applies ecological principles to the management of populations of crops and animals.,formal,en,2.2
Type `msconfig 'and then open` Startup' tab of the window.,neutral,en,-0.2
"It is the purpose of Scientology to ""clear the planet.""",neutral,en,0.2
it will most likely be sore for a few days afterwards.,neutral,en,0.0
"Right now, Meg Whitman is campaigning for Governor of California on the claim that state spending has exploded over the last decade - when the fact is that it has fallen drastically in real per capita terms.",formal,en,1.2
"If these goals are not achieved, pharmacotherapy can be offered.",formal,en,2.4
You can see all the documents here.,neutral,en,-0.2
When I spoke with the State Attorney's office I was told I needed to contact the girl's caseworker.,formal,en,1.5
"The shredded files, which any good German bureaucrat knows as vorvernichtete Akten or pre-destroyed files -- fill a staggering 16,000 mail sacks that contain about 45 million individual pages, or 600 million scraps.",formal,en,1.2
"Another disappointment so far has been the camera optics, particularly in the still photos we've taken, and it's difficult to tell whether you're getting more value with the extra megapixels over, say, the iPhone 3GS.",formal,en,1.0
It happened to my girlfriends and I in junior high.,formal,en,0.8
Or just have a few very close friends and make it a small reception.,casual,en,-1.0
"I don't want to (say it was retaliation)...I mean, I guess.",casual,en,-1.6
Ref (c) deficiency report is germane.,casual,en,-1.0
"And, more recently, you've been with us as we shared the movie's rowdy, red-meat trailers.",neutral,en,-0.4
Her bag is her responsobility really.,casual,en,-1.8
"As I have read and interpreted it, I just don't see it.",casual,en,-1.0
"Teachers, who asked not be named because of district confidentiality rules, said Smith and the other two juvenile defendants charged as adults have had tough times academically.",neutral,en,0.4
Or he's an underdog genius who's playing the media and the entire Palin narrative to his liking.,casual,en,-0.8
"Again, you need to find out what the timeline is in your state.",formal,en,1.4
"As peddlers spread their wares over blankets, the nearby government office was locked behind a closed gate.",formal,en,1.2
Kitty will be pissed off - but no more fleas or eggs!!!,casual,en,-2.0
Officials reviewed the catch - perhaps the only time the Irish were in suspense all night.,neutral,en,0.4
Summary There is nothing that will magically relieve our stress.,formal,en,0.6
They still allow the annual state-sponsored holiday tree inside the Capitol rotunda.,formal,en,1.8
When he explains his ideas its almost like you're living it.,neutral,en,0.0
"Modifications made to the pad include the removal of shuttle unique subsystems, such as the orbiter access arm and a section of the gaseous oxygen vent arm, along with the installation of three 600-foot lightning towers, access platforms, environmental control systems and a vehicle stabilization system.",neutral,en,0.4
"Last year Miami - Dade County had an estimated 1,500 admissions for Sickle Cell patients and these patients spent 12,000 days in the hospital.",formal,en,1.75
"""The prime minister will be able to present his government's proposal about what they are doing regarding settlements, which I think when fully explained will be seen as being not only unprecedented but in response to many of the concerns that have been expressed.""",neutral,en,-0.2
"It's not that he lies, but he makes everything sound so good.",casual,en,-0.75
"Maoists sabotaged Essar's 166-mile underground pipeline, which transfers slurry from one of India's most coveted iron ore deposits to the Bay of Bengal.",formal,en,2.4
Everyone is delt a poker hand.,casual,en,-2.0
The American people realize this is it.,neutral,en,-0.2
Some are even synthesised there by ribosomes on its surface.,formal,en,0.6
Spoon the sauce over the top.,formal,en,0.8
5.) Harry Potter sports an environmental audit.,casual,en,-0.8
she wants you to buy her a gift.,casual,en,-1.4
I'm offended cuz they STILL think ELVIS was white!!!!!,casual,en,-2.0
"It is reappearing this year, and due to major lobbying efforts and misinformation, it has widespread support again.",formal,en,1.5
"Anyway, Just make ur self as her or over her standard.",casual,en,-3.0
Satan tempting Jesus in the desert.,neutral,en,-0.2
Having a case load of 500 or 1000 kids is way too high and does not allow for good case management.,neutral,en,0.2
It seems like a spyware/adware.,casual,en,-0.8
I'm playing like Paul - Fuckin' - Newman by the way.,casual,en,-2.6
"This makes the ""teach to the test"" argument less relevant.",formal,en,1.0
You will get the same results.,formal,en,1.6
"""does a flouresent light keep fish warm?""",casual,en,-0.8
"The seat opened following the death of Rep. Steve Hailey, R-Mesa.",casual,en,-0.6
"""We don't want somebody to come out of a game and feel like they accomplished nothing, and they only got two trophies because the others were so esoteric, weird or difficult to find. It's like a slap in the face, to say, 'You thought you played Uncharted, but you really haven't.' """,casual,en,-0.6
"In an interview with the Washington News Observer, Rep. Michele Bachmann (R-MN) revealed that, next week in Washington, D.C., the right wing is trying to galvanize yet another mass protest rally against health reform.",formal,en,2.4
I am having my assistant overnight to you a packet of material regarding the Tort reform passed in Ohio.,formal,en,0.75
"He was taken into custody Friday in Atlanta, Georgia, and was extradited to Arizona on Saturday, police said.",formal,en,0.6
It is not known whether they flew in one of Ashcroft's two jets.,formal,en,1.8
You have a couple restraining orders against you.,neutral,en,-0.2
"""Israel is not interested in stopping its settlement activities and the American administration didn't succeed in convincing the Israeli government to stop these activities,"" he said.",formal,en,1.0
goto aninal planet on tv they got all you need to know,casual,en,-2.2
I'd hate to see you lose your account for not being well - informed.,neutral,en,0.2
"""It reminds me of the first time I was on a ship,"" she said, standing out on the deck in a light drizzle for a smoke.",formal,en,1.4
Do you ridicule the car mechanic because he refers to the manual?,neutral,en,-0.2
I also would look for another cooking site to join.,formal,en,1.0
Yoga just seems like its just breathing exercises for pregnant women!,casual,en,-1.4
"This is my first year doing Halloween with Meade, and we're going to do some special scary things to amuse the kids.",formal,en,0.8
Hopefully at rehab getting help for an eating disorder.,casual,en,-1.4
"Baron Ashcroft of Chichester, deputy chairman of the party, gave 1.6m to the Conservatives in 2008 through his company Bearwood.",formal,en,0.8
