text,label,lang,score
You have a leak somewhere.,neutral,en,0.0
"The warrant's vagueness and lack of specificity encouraged the agents to use their own discretion and their own views of the political universe to seize, or not to seize, items which they thought were evidence of a violation of the federal anti-riot statute.",formal,en,1.6
"However, I think you tore your meniscus.",neutral,en,1.2
Your advice would be greatly appreciated.,formal,en,2.0
This animus causes conservative women all sorts of grief with other women.,formal,en,1.4
Look up online what was happening about that time.,neutral,en,0.0
"Nope, noway, never.",casual,en,-2.2
"Three Cold War leaders from the Soviet Union, West Germany and US who saw the Berlin Wall fall two decades ago have been reunited in Germany's capital.",formal,en,0.8
a 4 ohm speaker requires more power than a 2 ohm.,neutral,en,-0.2
It makes me wonder at times.,neutral,en,-0.2
What fools our fathers were if this be true.,neutral,en,0.4
"Instead, the attackers struck just before dawn.",neutral,en,0.8
"If you are a media exec and you look at your product and at the end of the day it's a digital file that can be copied, then you have a serious problem with your format.",neutral,en,1.4
"Some people who are able to work could wean themselves off food stamps, subsidized housing and other public programs on which they currently depend.",formal,en,2.4
"Through June, Newsom reported having raised $1.2 million, while Brown had raked in $7.4 million - without even entering the race.",neutral,en,0.2
I love them!!,casual,en,-2.0
"all quite easy places to live in, and fun:)",casual,en,-2.0
baking powder 2 eggs 2/3 c. milk 1/3 c. water 1/2 tsp.,neutral,en,0.25
do it... communicate with the kid!,casual,en,-2.2
"The Conservatives said the break up of the state-owned banks had already been ""well trailed"".",neutral,en,-0.2
http://www.fodors.com/miniguides/mgresults.cfm?destination=trinidad_tobago@158 try this link,casual,en,-2.0
(that's all i remeber),casual,en,-2.4
Kids these days.,casual,en,-2.4
"Three Collins appointed committee members, sort of an early Water District that faced some critical problems in our area, conditions which unfortunately still exist in even worse environmental matters.",formal,en,2.5
They are never wrong.,neutral,en,0.4
SueZann Bosler:,casual,en,1.0
"the comment ""we agree to disagree"" seems to apply in this case.",neutral,en,0.2
"""Its new, its big, its exciting,"" and, he added, ""people from New York are fighters.""",neutral,en,-0.8
"""We found last year a lot of people are for free speech as long as people agree with their particular point of view,"" Valandra said.",neutral,en,1.2
I would see if someone is piggy backing on my internet signal RJ,casual,en,-1.6
Ross McCluney 2287 Cox Rd.,neutral,en,-0.3333
"Stop whining, feminists, it plays to stereotypes.",casual,en,-1.0
"He continued in that role under the Karzai government that was formed after the fall of the Taliban, leaving the government in 2006.",formal,en,1.8
Nor do you need to hire one.,neutral,en,-1.2
Sources told me Jackson very much wanted his children to see him in that milieu.,neutral,en,0.2
they will pay him that's how the cookie crumbles!,casual,en,-2.2
Tabhi 1 acche Truck Driver banoge.,casual,en,-0.6667
"At level 6,7 You can ask and answer unlimited of questions and vote 100.",neutral,en,0.6
Supplements like evening primrose can also help.,neutral,en,0.0
yes he is LOL,casual,en,-3.0
"Bryant's mother, Nina Bryant, also of Crewe, said Saturday that all she had been told was that ""they're searching and haven't found anyone yet, and they don't know whose fault it was.""",neutral,en,0.6
The moon doesn't go up or down... and neither does the sun.,neutral,en,-0.8
You know that the FCAT is not a bubble test.,neutral,en,-0.25
>,casual,en,0.0
"It's true that they might say they're pissed off at the deficit, but the underlying source of anger is the objective bad conditions.",neutral,en,0.2
William Shakespeare (1564-1616) 2.,neutral,en,0.5
"If Madison were an Iranian using Twitter to coordinate government protests, he'd likely be considered a hero in the West.",neutral,en,0.8
"In addition, the initiativ= e allows people to contribute to society.",neutral,en,0.8
The national average is 56 percent.,neutral,en,0.4
Better living through denial.,neutral,en,1.6
"The brother of Rachel Chandler, Stephen Collett, told the Observer the Foreign Office was doing an ""excellent"" job.",neutral,en,-0.4
"Grifter (10) Earn $200,000 in Insurance Fraud.",neutral,en,0.25
For most spirits feeling cold is correct.,neutral,en,1.4
Oh just ask her out.,casual,en,-2.0
Pretty darn funny if you ask me.,casual,en,-2.6
oh and you said the Dead Sea Scrolls disprove it.,casual,en,-1.2
Abnormalities means things are abnormal.,neutral,en,0.2
The two aircraft collided at 7:10 p.m. Thursday as the Coast Guard was conducting a search operation for a missing boater.,neutral,en,1.2
lol... these pizza hut q's your asking make me laugh.,casual,en,-2.4
"There could be further divestments required of RBS but these are not expected to include its extensive activities in the US, including its ownership of Citizens Bank.",formal,en,0.8
"There's an old saying: ""Big things come in small packages"".",neutral,en,-0.8
"sounds like they have no reason to leave, do you bathe them too?????",casual,en,-2.2
"What's more surprising is that, globally, the picture's much the same.",neutral,en,0.0
Most Americans believe that our Constitution has survived intact for more than 200 years without any significant change.,formal,en,2.6
"The department now features an entire wall display of Blu-ray DVDs, with about 100 titles, up from 30 movies earlier this year.",neutral,en,-0.6
"The amount of land required to generate electricity for the nation does sound like an awful lot, sometimes.",neutral,en,0.8
"""I will not say anything that could [put] any of my British colleagues in a difficult position,"" he said.",neutral,en,-1.0
you said something that crossed the line.,neutral,en,-0.75
This hypothetical quantity is referred to as CRITICAL MORASS.,formal,en,2.2
Patty or Cathy - those are the cardboard cutouts.,casual,en,0.4
"From March 11, 2002 - April 14, 2002, over 700,000 student visitors came to our state.",formal,en,1.8
"""The party's young members... have a clear vision for the nation's future, and propose new ideas to deal with the reality,"" he added.",neutral,en,0.4
Bring the stew just to a simmer.,neutral,en,1.2
"""As good as gold,"" said Bob, ""and better.",casual,en,-2.0
I guy will tell you anything to get into your pussy just one time.,casual,en,-3.0
"After last week's fiasco, when an eastern span patch job fell apart after a mere seven weeks - we certainly hope so.",neutral,en,0.0
not a gud idea... its offending,casual,en,-2.6
forming an island: insular rocks.,formal,en,0.0
Please share this with him for me.,neutral,en,-0.5
"A world never poor, because everyone got paid.",neutral,en,-0.75
I did fly over the damage and it was extensive and sad to see.,neutral,en,0.8
Sometimes you have to say the truth even if it hurts.,neutral,en,0.4
Non Violence Non Violence Non Violence.......,casual,en,-1.6667
There is no rule that says you have to serve an entire meal.,neutral,en,0.8
"If you have received this transmission in error, please notify the sender by telephone immediately so we may arrange to retrieve the transmission at no cost to you.",formal,en,2.0
"Liberal pundits continue to ridicule Sarah Palin's colorful but accurate term ""death panels,"" but government control, cost-cutting and Medicare penalties against docs who provide ""too much"" care will lead to bureaucrats literally deciding who lives and who dies.",neutral,en,1.4
"The State has made a tremendous effort to improve facilities, traffic flow and to manage for the people this spectacular site.",formal,en,2.5
then u can apply for USA Student Visa.,casual,en,-2.6
I love All about my mother and Talk to her,casual,en,-2.6
"If there is any way I can be of assistance, or you need me for any volunteer or special projects, I'm always available.",formal,en,2.0
I like Haley Nicole.,neutral,en,-1.4
why wouldn't we.,casual,en,-2.2
"""There is no safe location where we can go.""",neutral,en,-1.4
"Comprised of 11,000 physicians and scientists, ASN continues to promote expert patient care, to advance medical research, and to educate the renal community.",formal,en,1.4
"Best advice is to ""never dip your Quill in the company ink.""",neutral,en,-0.2
"Of the 57 games in which those Celtics held a halftime lead, they won 49 of them.",neutral,en,0.2
"There was also the file of Heinrich Fink, a theology professor who was exposed as the spy ""Heiner"" who regularly informed on students and colleagues.",neutral,en,0.4
"At the same time, the chain has reduced overall inventory by at least 6 percent to make the store less cluttered and address reduced consumer spending.",formal,en,0.8
You can not just simply start talking.,neutral,en,-0.2
"If they're pro-life, they lose a lot of women voters.",neutral,en,0.8
Whooo Hoo....,casual,en,-3.0
